category,source_path,bytes,sha256,title,learning_resource_types
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/29.srt,66722,2635e841e4358c72339f3f5f02034cd7f9e3d20e5ea4a98337e6472169bb8a81,29.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/30.srt,71722,b33db9730beeb29fe455eded55bd3b4a366380151c7e2f196b8ad0e64966a676,30.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/31.srt,84149,0521e2c0e6a006d77383bdae2d21f7fe7bc1445837e854e83c09b04e1798ab73,31.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/32.srt,75918,78f53e3eafb7d1704605ac187325f77fa3b53c775c2b98b211c66a30b496fe44,32.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/33.srt,63808,66d7ad8e6cbe05bb8a3881c64ed3486daa6ba992e0b3816857b9adc82788df58,33.srt,
download/subtitle,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/34.srt,63936,9beae47eed35c76bedaca74e93c8e7a4553c94fffeaba6a99b6ce1c7ac4a12a6,34.srt,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/04979ab05f4f27e621e1e26ece4586fd_MIT18_06S10_L18.pdf,90641,4696df52f045977a287dec26ef23a6ab52d031700958364d2d73641b01e99f30,MIT18_06S10_L18.pdf,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/07f82f7a07458fb3d79d1ba5cf53fa1e_FX4C-JpTFgY.pdf,61781,1fbf339dd11ae89099db85ae40c1145055c0ece94e44e04b307efd245e11fdd0,3play pdf file,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/08e4ccacddfc8dfdb1f84df83b966e8f_MIT18_06S10_L33.pdf,81610,e2b0b4798f45298753540c8cbadcc0de3bebe4dc226817d6424f56bb2fffdd4b,MIT18_06S10_L33.pdf,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/0a004f4b6e3c4d8b70f0cbf9bf4cb7fc_MIT18_06S10_L24.pdf,103202,fa1ae03c9fb15105ef53a3a65c30d6754ed499cea2d748958bf09f94178d1599,MIT18_06S10_L24.pdf,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/0f4bac6de07c6e13d35de60e556af4be_TSdXJw83kyA.pdf,57926,831f65d771123fe2dc36d931612f30f102ef7ed9aacfd909028335c0c579712b,3play pdf file,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/0f4d618b79d74403afcbaef310117f03_TX_vooSnhm8.pdf,51702,4863c8476a60e5338b3752953a266fe15549c1fc2db67b4d257711f192379e29,3play pdf file,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/0fab20a14c050d85ef29563cd6c52d37_MIT18_06S10_L09.pdf,95248,856f9491700d4553e28cd51f837d8c01ccddf0c341663f2b30e19d5e2db30df5,MIT18_06S10_L09.pdf,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/111608202724f78b5b19ef52dcbe61c9_vF7eyJ2g3kU.pdf,59336,335be61c24533af716ebbafed4de9e97c26a2373a19a41b2e3a67085d1b8fff6,3play pdf file,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/16edaa6071e4c657f7426e85c6d757e7_MIT18_06S10_L25.pdf,90112,daeb43d3d35a7624422293b5808b17ef13eb922b89999f1d13cea970665d1c31,MIT18_06S10_L25.pdf,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/18d1a0a50c5d91ead6f30195cc161f20_MIT18_06S10_L03.pdf,88542,49653cac9ed015437e50fe06b1b9ab8c82025067dc39b884428fd0942754589e,MIT18_06S10_L03.pdf,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/1d48511dfc3158b035ab92820c9a41cd_MIT18_06S10_L07.pdf,88873,29c6ed4e467ed98766864f852bfe1d1c8391a3e47d9b87040b50e6066f1be1ec,MIT18_06S10_L07.pdf,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/2044960c6bdf6d9dd095ec65a7995e02_MIT18_06S10_L19.pdf,107805,589c9a0cf76c879edcbc9b79dbd8ec2602805d843c4f76b0ebffe76842af3c57,MIT18_06S10_L19.pdf,
static/pdf/problem-set-solution,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/22297c2a6dcf06d82e93ee4af115e91a_MIT18_06S10_pset1_s10_soln.pdf,227552,6b5486a2f40a6a6bde5fa5b0dba2ac10c175bff00e139c0db435ee192a3d9db7,Problem Set 1 Solutions,Problem Sets;Problem Set Solutions
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/224769c9e399493a99ac441ba670eebf_9Q1q7s1jTzU.pdf,56801,a50f847ba34355cc453a2657577c00735ad8efae0121866fb0a74747931cba9e,3play pdf file,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/23a10f36b05bb0a614ffed0c9e173ae8_Nx0lRBaXoz4.pdf,51702,656568d6b02158242b297a2be45ece1da9e46c54f4d25b92ec26709c2fe444bd,23a10f36b05bb0a614ffed0c9e173ae8_Nx0lRBaXoz4.pdf,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/24f7f9a2b23f81003dfdf6c146e123b7_7UJ4CFRGd-U.pdf,19856,2c29df2b986a337eeb4fa701655f7db0ad2e733d96ff10e05038a6e169f3fbbd,3play pdf file,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/25b272e031b673f77a0377e68f512ead_MIT18_06S10_L26.pdf,93015,f61af2b3f8602f7a5161505e554cee84b5faaf19ec259259b7977842633505d6,MIT18_06S10_L26.pdf,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/276d6285a79cd8ae1e6a23fabee4f836_lXNXrLcoerU.pdf,67800,e291743101ebca9e3177b72ccd986278312eee0964b22a55793bea4f9e9437f0,276d6285a79cd8ae1e6a23fabee4f836_lXNXrLcoerU.pdf,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/29a5c9f572b39efa94c91969f4c1dd8b_MIT18_06S10_L22.pdf,102076,2e127b0df34df4e5cd03c811cefc71b0750c1a58ff77ee52d8df71d85b3d7a7f,MIT18_06S10_L22.pdf,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/2b2efb9e2305ba1d537290b2fc2f40cf_vGkn-3NFGck.pdf,61086,c55b8e3ddc49420ac1cdfff53d55aaa83f690a8c086d1056c8ce1a9e164102eb,2b2efb9e2305ba1d537290b2fc2f40cf_vGkn-3NFGck.pdf,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/2c925bea168888404287bb6b848f79ca_MIT18_06S10_symmbases.pdf,76451,f111acdeaf2cdfbee6e7142bc2d1eeb91dc7fe19ae92f2cba1c9ef507d5b131c,A Basis for 3 by 3 Symmetric Matrices,Readings
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/36ad03fa0fce88a4b97f846156c11b8b_yjBerM5jWsc.pdf,62016,a44b1a55c31e79bd0a0203d0f879f2f70bb96f37f3be210420ce970f9d372d9e,3play pdf file,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/37c203da0f0a780809072f41816a3a8a_MIT18_06S10_L15.pdf,90989,37395f9c9a24a8b02681bfa59ad0eaf3a17f9b44f8c542af9b8862d9be8e325a,MIT18_06S10_L15.pdf,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/3a4c9c7a6e90be05bff41ffcda51cf24_QuZL5IKpO_U.pdf,62082,a905025e6a82d519b35b2ee5b0bc62c21127dbf333def2568bfc2f3cd8e341b3,3play pdf file,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/3be3017cefe4dda20b6f1cb8a9c78c65_MIT18_06S10_L04.pdf,94034,c25036b709058ada92496c9de489d10304e5f92eb7098d9859f91d8cf9ddb721,MIT18_06S10_L04.pdf,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/3d558eb07500e733e88234c73d4afa80_MIT18_06S10_L32.pdf,90972,0515ac7feae7fb2fa6a8774bf8b9800074e1533fbebb125ce0a0b4a49dfdb3b0,MIT18_06S10_L32.pdf,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/43fde1e3a065f6befd9c6d5a804a68f6_uNsCkP9mgRk.pdf,58365,8986caee8ad227ec9c1fd0594cbf7c2e8b48c14c33376b320d8c15a578917f34,43fde1e3a065f6befd9c6d5a804a68f6_uNsCkP9mgRk.pdf,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/44816c03f1051520098f3408e4f55a12_MIT18_06S10_L34.pdf,82449,82fb4e824b8a04bb3c72a6353239291fe613aa282cb91f474fb6f2ebbe20c84b,MIT18_06S10_L34.pdf,
static/pdf/exam,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/45790724487e46dcc02f55d0fc092ab7_MIT18_06S10_Final_Answers.pdf,362592,5cd631db8dfbc266d766c9fc2eb8e0e7a52226083dc317379825b9aaae5048aa,Final exam with solutions,Exams with Solutions
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/46108efb43dcf33e989eb5e101fcf9b5_MIT18_06S10_L31.pdf,95934,087d19e1e46876ef3bea20e5c38756acba7d7ca224b9b87f65708787840262ec,MIT18_06S10_L31.pdf,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/47d18e420743b6c0ff2851531f805bfc_YzZUIYRCE38.pdf,61207,eec99fcf0a3b62d6a70f3cc0a01495beca537ab9c15d9de435ed1207adff11eb,3play pdf file,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/49c357a7166c58e09f76f25512872fd9_QVKj3LADCnA.pdf,58640,fe264b6cc4a8eb92359e7288b5e6af46542020abcc46929d05adb89ee2c36dbc,3play pdf file,
static/pdf/problem-set-solution,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/4d1ef28c0836e81caec9122a69c7b931_MIT18_06S10_pset7_s10_soln.pdf,113779,147450302a4d79502d789426939e171b7ce8dfebad4aa2fbc666e0508d3e0f3f,Problem Set 7 Solutions,Problem Sets;Problem Set Solutions
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/4d876a9159e32543eb0d73b4d4382f4c_MIT18_06S10ZoomNotes.pdf,626190,fc5a449b797478be15171ade92cd11ea15559c42eeeb9a252bcdab325ec7b344,ZoomNotes for Linear Algebra,Readings
static/pdf/problem-set-solution,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/4ece22f9c707878e1e57b9840469490e_MIT18_06S10_pset4_s10_soln.pdf,205966,a0ee7322f100b7559082145ab06bdef2b3b2e4d72d0169fc176936fe2d443dbb,Problem Set 4 Solutions,Problem Sets;Problem Set Solutions
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/50702172c7cdc969615b81e6f22499fd_MIT18_06S10_L01.pdf,87228,d304c32a3e2e0c0efe13204633b31fffd2994a70493211945292989cd12e2e97,MIT18_06S10_L01.pdf,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/52823bc4563ea1482bb5cd7c36c60d1e_8o5Cmfpeo6g.pdf,63124,41eddebdf3159c7964d83e5defee32c452a6e0709024ff43e499907b86b3263a,3play pdf file,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/55c07f16c1f8592e3f0457652ab11634_nHlE7EgJFds.pdf,62084,f3724180fafd2cf6639f0172669d9a8741f0b79cf0670d12525ec0d88d6cdda7,3play pdf file,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/55da11f77a97298e289472a651e76f4f_2IdtqGM6KWU.pdf,56585,4114c462e99a49c5acc6fcb78d020d5e3461a11ec1abafcbf00ed82146c91ee8,3play pdf file,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/583f8dc980a005b1b4d4e5f134fe54c4_RWvi4Vx4CDc.pdf,54720,c150f1e07030a4ff55d16ebbcf81729c998032d33eb2b889a79488fa6a537258,3play pdf file,
static/pdf/problem-set-solution,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/58e62cc93e3e8b6cb52e72fa5830fc4e_MIT18_06S10_pset9_s10_soln.pdf,252520,055bb017b5133ea480ebe2f8f4e6c384d966eb642938f3ccf9843ad93fee4993,Problem Set 9 Solutions,Problem Sets;Problem Set Solutions
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/5999377c0389e31b65d53b6f1b8fc3a8_8MF3pz-oYHo.pdf,64347,f61c8f7dc3439fc46842b09893284f3813ccbf23ae649185c8f3375e2f01b763,5999377c0389e31b65d53b6f1b8fc3a8_8MF3pz-oYHo.pdf,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/5b376d43a2a5dd24d86e69aa67406111_VqP2tREMvt0.pdf,54560,94a315291eb866d95eea47c2e9d90a844425f22688ed40f07ed00b4df9ac3777,3play pdf file,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/5b675f448f72e8c01d2d0a1ed62b98df_HgC1l_6ySkc.pdf,61957,22b83ab59a1a3410e264d4f87283e6e114d4842c2b9a481361a2565bdf764ebf,3play pdf file,
static/pdf/lecture-transcript,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/617515a90ae97a0810cc3aea8d9640d8_MIT18_06S10_L14.pdf,91955,f8c98c2afdc84b36b8a2dad22bdf35a1051d7218becd5dce6f2cbfbfe99b42c3,MIT18_06S10_L14.pdf,
static/pdf/other,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/63af0d426b1415305114019a73e92e4f_l88D4r74gtM.pdf,61135,e49e12f61a7487c7867d3368b8c2e80bfb76d9b5dabecb04989081b48ad38a40,3play pdf file,
