unit,lecture,title,topic,video_path,srt_path,lecture_pdf_path,review_path,problem_set_refs,exam_refs
30,30,Lecture 30: Linear transformations and their matrices,Similar matrices,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/30.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/30.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/71bffaffa75c005516ee010daf17868b_MIT18_06S10_L30.pdf,,,
31,31,Lecture 31: Change of basis; image compression,Singular value decomposition,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/31.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/31.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/46108efb43dcf33e989eb5e101fcf9b5_MIT18_06S10_L31.pdf,,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/58e62cc93e3e8b6cb52e72fa5830fc4e_MIT18_06S10_pset9_s10_soln.pdf,
32,32,Lecture 32: Quiz 3 review,"Fourier series, FFT, complex matrices",/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/32.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/32.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/3d558eb07500e733e88234c73d4afa80_MIT18_06S10_L32.pdf,,,
33,33,Lecture 33: Left and right inverses; pseudoinverse,Linear transformations,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/33.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/33.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/08e4ccacddfc8dfdb1f84df83b966e8f_MIT18_06S10_L33.pdf,,,
34,34,Lecture 34: Final course review,Choice of basis,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/34.mp4,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/download/34.srt,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/44816c03f1051520098f3408e4f55a12_MIT18_06S10_L34.pdf,,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/e6ea5d4104066f874afe1c34e06b8268_MIT18_06S10_pset10_s10_sol.pdf,
35,,Session 35: Linear programming,Linear programming,,,,,,
36,,Session 36: Course review,Course review,,,,,,
37,,Session 37: Exam 3: Chapters 1-8,Exam 3: Chapters 1-8,,,,,,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/c72789c2ac2ccaf5568a024c662882d2_MIT18_06S10_exam3_s10.pdf;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/edf08929f3b2b435c7d8ca85e8d5118d_MIT18_06S10_exam3_s10_soln.pdf
38,,Session 38: Numerical linear algebra,Numerical linear algebra,,,,,,
39,,Session 39: Computational science,Computational science,,,,,,
40,,Session 40: Final exam,Final exam,,,,,,/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/45790724487e46dcc02f55d0fc092ab7_MIT18_06S10_Final_Answers.pdf;/Users/aloschilov/Obsidian/Math/DeepLearning/Books/18.06-spring-2010/static_resources/b799045edd80df18879088bcf872b214_MIT18_06S10_Final_Exam.pdf
